Destination,Dates,Price,Group,Period,Status,Regio
Dublin,"['18.04.2023', '25.04.2023']",37,staedtereisen,2023-04,2023-01-28,Europe
Thessaloniki,"['15.05.2023', '24.05.2023']",39,staedtereisen,2023-05,2023-01-28,Europe
Catania,"['14.03.2023', '21.03.2023']",40,staedtereisen,2023-03,2023-01-28,Europe Italy
Neapel,"['26.03.2023', '30.03.2023']",41,staedtereisen,2023-03,2023-01-28,Europe Italy
Porto,"['04.05.2023', '18.05.2023']",41,staedtereisen,2023-05,2023-01-28,Europe Spain
Valencia,"['04.05.2023', '08.05.2023']",43,staedtereisen,2023-05,2023-01-28,Europe Spain
Brindisi,"['26.04.2023', '03.05.2023']",45,staedtereisen,2023-04,2023-01-28,Europe
Zadar,"['18.06.2023', '22.06.2023']",47,staedtereisen,2023-06,2023-01-28,Europe
Krakau,"['06.06.2023', '10.06.2023']",67,staedtereisen,2023-06,2023-01-28,
Chania,"['26.03.2023', '02.04.2023']",73,staedtereisen,2023-03,2023-01-28,Europe
Barcelona,"['27.11.2023', '10.12.2023']",74,staedtereisen,2023-11,2023-01-28,Europe Spain
Rom Fiumicino,"['12.09.2023', '26.09.2023']",74,staedtereisen,2023-09,2023-01-28,Europe Italy
Lissabon,"['28.02.2023', '02.03.2023']",78,staedtereisen,2023-02,2023-01-28,Europe Spain
Zagreb,"['04.05.2023', '09.05.2023']",18,kurzurlaub,2023-05,2023-01-28,Europe
Riga,"['13.03.2023', '17.03.2023']",29,kurzurlaub,2023-03,2023-01-28,Europe
Mallorca,"['16.04.2023', '20.04.2023']",37,kurzurlaub,2023-04,2023-01-28,Europe Spain
Alicante,"['21.04.2023', '25.04.2023']",41,kurzurlaub,2023-04,2023-01-28,Europe Spain
Neapel,"['26.03.2023', '30.03.2023']",41,kurzurlaub,2023-03,2023-01-28,Europe Italy
Catania,"['28.02.2023', '04.03.2023']",43,kurzurlaub,2023-02,2023-01-28,Europe Italy
Malta,"['08.05.2023', '12.05.2023']",43,kurzurlaub,2023-05,2023-01-28,Europe
Valencia,"['04.05.2023', '08.05.2023']",43,kurzurlaub,2023-05,2023-01-28,Europe Spain
Zadar,"['18.06.2023', '22.06.2023']",47,kurzurlaub,2023-06,2023-01-28,Europe
Krakau,"['06.06.2023', '10.06.2023']",67,kurzurlaub,2023-06,2023-01-28,
Chania,"['29.03.2023', '02.04.2023']",74,kurzurlaub,2023-03,2023-01-28,Europe
Lissabon,"['28.02.2023', '02.03.2023']",78,kurzurlaub,2023-02,2023-01-28,Europe Spain
Barcelona,"['26.04.2023', '01.05.2023']",81,kurzurlaub,2023-04,2023-01-28,Europe Spain
Luxemburg,"['04.10.2023', '06.10.2023']",89,kurzurlaub,2023-10,2023-01-28,
Rom Fiumicino,"['07.05.2023', '10.05.2023']",95,kurzurlaub,2023-05,2023-01-28,Europe Italy
Palermo,"['03.07.2023', '05.07.2023']",95,kurzurlaub,2023-07,2023-01-28,Europe Italy
Madrid,"['17.09.2023', '20.09.2023']",101,kurzurlaub,2023-09,2023-01-28,Europe Spain
Porto,"['01.07.2023', '04.07.2023']",107,kurzurlaub,2023-07,2023-01-28,Europe Spain
Zadar,"['18.06.2023', '22.06.2023']",47,warme-reiseziele,2023-06,2023-01-28,Europe
Zagreb,"['06.07.2023', '15.07.2023']",57,warme-reiseziele,2023-07,2023-01-28,Europe
Mallorca,"['27.06.2023', '06.07.2023']",71,warme-reiseziele,2023-06,2023-01-28,Europe Spain
Rom Fiumicino,"['12.09.2023', '26.09.2023']",74,warme-reiseziele,2023-09,2023-01-28,Europe Italy
Chania,"['03.05.2023', '12.05.2023']",91,warme-reiseziele,2023-05,2023-01-28,Europe
Thessaloniki,"['05.07.2023', '12.07.2023']",94,warme-reiseziele,2023-07,2023-01-28,Europe
Malta,"['16.06.2023', '23.06.2023']",95,warme-reiseziele,2023-06,2023-01-28,Europe
Madrid,"['20.06.2023', '04.07.2023']",96,warme-reiseziele,2023-06,2023-01-28,Europe Spain
Alicante,"['22.09.2023', '29.09.2023']",104,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Barcelona,"['06.09.2023', '20.09.2023']",105,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Korfu,"['30.06.2023', '14.07.2023']",107,warme-reiseziele,2023-06,2023-01-28,Europe
Lissabon,"['21.06.2023', '06.07.2023']",119,warme-reiseziele,2023-06,2023-01-28,Europe Spain
Malaga,"['06.09.2023', '20.09.2023']",123,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Athen,"['13.09.2023', '27.09.2023']",139,warme-reiseziele,2023-09,2023-01-28,Europe
Ibiza,"['07.09.2023', '21.09.2023']",140,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Korfu,"['03.07.2023', '16.07.2023']",141,warme-reiseziele,2023-07,2023-01-28,Europe
Dalaman,"['14.10.2023', '25.10.2023']",141,warme-reiseziele,2023-10,2023-01-28,MENA
Granada,"['10.07.2023', '17.07.2023']",141,warme-reiseziele,2023-07,2023-01-28,
Marrakesch,"['07.05.2023', '19.05.2023']",141,warme-reiseziele,2023-05,2023-01-28,Africa
Alicante,"['06.09.2023', '16.09.2023']",142,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Faro,"['10.07.2023', '17.07.2023']",142,warme-reiseziele,2023-07,2023-01-28,Europe Spain
Kos,"['08.10.2023', '19.10.2023']",142,warme-reiseziele,2023-10,2023-01-28,Europe
Skiathos,"['07.07.2023', '10.07.2023']",143,warme-reiseziele,2023-07,2023-01-28,
Las Palmas,"['06.11.2023', '24.11.2023']",143,warme-reiseziele,2023-11,2023-01-28,Europe Spain
Sevilla,"['30.09.2023', '20.10.2023']",143,warme-reiseziele,2023-09,2023-01-28,Europe Spain
Teneriffa Süd,"['09.05.2023', '23.05.2023']",143,warme-reiseziele,2023-05,2023-01-28,Europe Spain
